TT,Địa điểm,Các chỉ tiêu môi trường nước,,,,,,Mẫu giáp xác tự nhiên
,,"Độ mặn
(‰)",pH,"Kiềm
(mg/l)","NH4/NH3
(mg/l)",Nhiệt độ (0C),"Oxy
(mg/l)","Virus gây bệnh
đốm trắng"
1,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),0,"7,5",90,0,28,"3,0",Không phát hiện
2,Bến phà Long Hưng - Hòa Minh - Châu Thành,0,"7,5",72,0,29,"3,0",Không phát hiện
3,Sông Vinh Kim - Cầu Ngang,0,"7,5",90,0,28,"3,0",Không phát hiện
4,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),1,"8,0",90,"0,03",27,"4,0",Không phát hiện
5,Cống Thâu Râu -Mỹ Long Nam - Cầu Ngang,4,"7,5",72,0,29,"4,0",Không phát hiện
6,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,9,"8,5",90,0,29,"4,0",
7,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,5,"7,5",72,0,29,"3,0",Không phát hiện
8,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),10,"7,5",72,0,30,"4,0",Không phát hiện
9,Cống La Bang - Đôn Châu - Duyên Hải,1,"7,0",72,0,29,"3,0",Không phát hiện
10,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,3,"8,0",90,0,27,"3,0",Không phát hiện
11,Bến đò Phước Thiện - Đông Hải - Duyên Hải,13,"7,5",90,0,27,"3,0",